Mfg_Part_Num,Column_Name,Expected_Value,Actual_Value,Match_Status,Is_Match
PDSH4816AF,LONG_DESC1,"FRIGIDAIRE® Dishwasher With CleanBoost™, Professional Series, 5 Wash Cycles, 120 V, 15 A, Leg Mounting, 24 in W x 24-1/4 in D, 50-1/4 in Depth With Door Open, 8-1/2 in Upper Rack, 11-1/4 in Lower Rack Minimum Height, 10-3/8 in Upper Rack, 13-1/4 in Lower Rack Maximum Height, 47 dBA Sound Level, Stainless Steel, Additional Information: 240 kW-hr Annual Energy, 1 to 12 hr Delay Start Hours","FRIGIDAIRE® Dishwasher With CleanBoost™, Professional Series, 5 Wash Cycles, 120 V, 15 A, Leg Mounting, 24 in W x 24-1/4 in D, 50-1/4 in Depth With Door Open, 8-1/2 in Upper Rack, 11-1/4 in Lower Rack Minimum Height, 10-3/8 in Upper Rack, 13-1/4 in Lower Rack Maximum Height, 47 dBA Sound Level, Stainless Steel, Additional Information: 240 kW-hr Annual Energy, 1 to 12 hr Delay Start Hours",EXACT_MATCH,True
PDSH4816AF,RETAIL_DESC,"Professional Series Dishwasher, Leg Mounting, 5-Wash Cycle, Stainless Steel","Professional Series Dishwasher, Leg Mounting, 5-Wash Cycle, Stainless Steel",EXACT_MATCH,True
PDSH4816AF,MARKETING_DESCRIPTION,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_1,,CleanBoost™ technology for deep cleaning,EXTRA,False
PDSH4816AF,ITEM_FEATURES_2,,Leg mounting system,EXTRA,False
PDSH4816AF,ITEM_FEATURES_3,,5-Wash cycle select options,EXTRA,False
PDSH4816AF,ITEM_FEATURES_4,,Stainless steel finish,EXTRA,False
PDSH4816AF,ITEM_FEATURES_5,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_6,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_7,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_8,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_9,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_10,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_11,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_12,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_13,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_14,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_15,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_16,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_17,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_18,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_19,,,BLANK_MATCH,True
PDSH4816AF,ITEM_FEATURES_20,,,BLANK_MATCH,True
PDSH4816AF,With,With CleanBoost™,CleanBoost™,VALUE_MISMATCH,False
PDSH4816AF,Standard/Approvals,ASSE 1006|CEE Tier 2 Qualified|cUL Listed|ENERGY STAR Certified|NSF Certified|UL Listed,ASSE 1006|CEE Tier 2 Qualified|cUL Listed|ENERGY STAR Certified|NSF Certified|UL Listed,EXACT_MATCH,True
PDSH4816AF,Prop 65,,,BLANK_MATCH,True
PDSH4816AF,Application,,,BLANK_MATCH,True
PDSH4816AF,Includes,,,BLANK_MATCH,True
PDSH4816AF,Product Name,Dishwasher,Dishwasher,EXACT_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 1,Series,Series,EXACT_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 1,Professional Series,Professional Series,EXACT_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 1,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 2,Model,Number of Wash Cycles,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_VALUE 2,,5,EXTRA,False
PDSH4816AF,ATTRIBUTE_UOM 2,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 3,Number of Wash Cycles,Voltage Rating,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_VALUE 3,5,120,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_UOM 3,,V,EXTRA,False
PDSH4816AF,ATTRIBUTE_LABEL 4,Voltage Rating,Amperage Rating,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_VALUE 4,120,15,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_UOM 4,V,A,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_LABEL 5,Amperage Rating,Mounting Type,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_VALUE 5,15,Leg,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_UOM 5,A,,MISSING,False
PDSH4816AF,ATTRIBUTE_LABEL 6,Mounting Type,Size,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_VALUE 6,Leg,24 in W x 24-1/4 in D,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_UOM 6,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 7,Plug Type,Depth With Door Open,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_VALUE 7,,50-1/4,EXTRA,False
PDSH4816AF,ATTRIBUTE_UOM 7,,in,EXTRA,False
PDSH4816AF,ATTRIBUTE_LABEL 8,Size,Minimum Height,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_VALUE 8,24 in W x 24-1/4 in D,"8-1/2 in Upper Rack, 11-1/4 in Lower Rack",VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_UOM 8,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 9,Depth With Door Open,Maximum Height,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_VALUE 9,50-1/4,"10-3/8 in Upper Rack, 13-1/4 in Lower Rack",VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_UOM 9,in,,MISSING,False
PDSH4816AF,ATTRIBUTE_LABEL 10,Minimum Height,Sound Level,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_VALUE 10,"8-1/2 in Upper Rack, 11-1/4 in Lower Rack",47,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_UOM 10,,dBA,EXTRA,False
PDSH4816AF,ATTRIBUTE_LABEL 11,Maximum Height,Material,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_VALUE 11,"10-3/8 in Upper Rack, 13-1/4 in Lower Rack",Stainless Steel,VALUE_MISMATCH,False
PDSH4816AF,ATTRIBUTE_UOM 11,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 12,Sound Level,,MISSING,False
PDSH4816AF,ATTRIBUTE_VALUE 12,47,,MISSING,False
PDSH4816AF,ATTRIBUTE_UOM 12,dBA,,MISSING,False
PDSH4816AF,ATTRIBUTE_LABEL 13,Material,,MISSING,False
PDSH4816AF,ATTRIBUTE_VALUE 13,Stainless Steel,,MISSING,False
PDSH4816AF,ATTRIBUTE_UOM 13,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 14,Color,,MISSING,False
PDSH4816AF,ATTRIBUTE_VALUE 14,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 14,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 15,Additional Information,,MISSING,False
PDSH4816AF,ATTRIBUTE_VALUE 15,"240 kW-hr Annual Energy, 1 to 12 hr Delay Start Hours",,MISSING,False
PDSH4816AF,ATTRIBUTE_UOM 15,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 16,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 16,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 16,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 17,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 17,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 17,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 18,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 18,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 18,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 19,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 19,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 19,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 20,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 20,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 20,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 21,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 21,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 21,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 22,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 22,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 22,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 23,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 23,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 23,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 24,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 24,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 24,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 25,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 25,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 25,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 26,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 26,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 26,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 27,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 27,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 27,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 28,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 28,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 28,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 29,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 29,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 29,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 30,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 30,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 30,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 31,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 31,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 31,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 32,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 32,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 32,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 33,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 33,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 33,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 34,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 34,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 34,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 35,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 35,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 35,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 36,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 36,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 36,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 37,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 37,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 37,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 38,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 38,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 38,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 39,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 39,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 39,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 40,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 40,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 40,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 41,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 41,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 41,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 42,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 42,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 42,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 43,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 43,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 43,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 44,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 44,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 44,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 45,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 45,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 45,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 46,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 46,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 46,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 47,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 47,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 47,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 48,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 48,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 48,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 49,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 49,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 49,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_LABEL 50,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_VALUE 50,,,BLANK_MATCH,True
PDSH4816AF,ATTRIBUTE_UOM 50,,,BLANK_MATCH,True
PDSH4816AF,UPC,,,BLANK_MATCH,True
PDSH4816AF,EAN,,,BLANK_MATCH,True
PDSH4816AF,GTIN,,,BLANK_MATCH,True
PDSH4816AF,UNSPSC,,,BLANK_MATCH,True
PDSH4816AF,Warranty,"1 Year Manufacturer, 1 Year Labor and Parts","1 Year Manufacturer, 1 Year Labor and Parts",EXACT_MATCH,True
PDSH4816AF,List Price,,,BLANK_MATCH,True
PDSH4816AF,Selling Qty,,1,EXTRA,False
PDSH4816AF,Selling UOM,,EA,EXTRA,False
PDSH4816AF,Standard Packaging Information,,,BLANK_MATCH,True
PDSH4816AF,LENGTH,,24,EXTRA,False
PDSH4816AF,LENGTH_UOM,,in,EXTRA,False
PDSH4816AF,HEIGHT,,35,EXTRA,False
PDSH4816AF,HEIGHT_UOM,,in,EXTRA,False
PDSH4816AF,WIDTH,,24,EXTRA,False
PDSH4816AF,WIDTH_UOM,,in,EXTRA,False
PDSH4816AF,WEIGHT,,85,EXTRA,False
PDSH4816AF,WEIGHT_UOM,,lb,EXTRA,False
PDSH4816AF,VOLUME,,,BLANK_MATCH,True
PDSH4816AF,VOLUME_UOM,,,BLANK_MATCH,True
PDSH4816AF,Product Image,FRIGIDAIRE_PDSH4816AF.jpg,FRIGIDAIRE_PDSH4816AF.jpg,EXACT_MATCH,True
PDSH4816AF,Alternate Image 1,FRIGIDAIRE_PDSH4816AF_1.jpg,FRIGIDAIRE_PDSH4816AF_1.jpg,EXACT_MATCH,True
PDSH4816AF,Alternate Image 2,FRIGIDAIRE_PDSH4816AF_2.jpg,FRIGIDAIRE_PDSH4816AF_2.jpg,EXACT_MATCH,True
PDSH4816AF,Alternate Image 3,FRIGIDAIRE_PDSH4816AF_3.jpg,FRIGIDAIRE_PDSH4816AF_3.jpg,EXACT_MATCH,True
PDSH4816AF,Alternate Image 4,FRIGIDAIRE_PDSH4816AF_4.jpg,,MISSING,False
PDSH4816AF,SDS,,,BLANK_MATCH,True
PDSH4816AF,SDS_1,,,BLANK_MATCH,True
PDSH4816AF,Warranty Information,,,BLANK_MATCH,True
PDSH4816AF,Catalog,,,BLANK_MATCH,True
PDSH4816AF,Specification Sheet,FRIGIDAIRE_PDSH4816AF_Specification_Sheet.pdf,FRIGIDAIRE_PDSH4816AF_Specification_Sheet.pdf,EXACT_MATCH,True
PDSH4816AF,Instruction/Installation Manual,,,BLANK_MATCH,True
PDSH4816AF,Service Manual,,,BLANK_MATCH,True
PDSH4816AF,Owners/User Manual,,,BLANK_MATCH,True
PDSH4816AF,Line Drawing,,,BLANK_MATCH,True
PDSH4816AF,MTR,,,BLANK_MATCH,True
PDSH4816AF,RoHS,,,BLANK_MATCH,True
PDSH4816AF,Full Engineering Drawing,,,BLANK_MATCH,True
PDSH4816AF,Energy Star Guide,,,BLANK_MATCH,True
PDSH4816AF,Technical Bulletin,,,BLANK_MATCH,True
PDSH4816AF,Submittal,,,BLANK_MATCH,True
PDSH4816AF,Compatibility Chart,,,BLANK_MATCH,True
PDSH4816AF,Size Chart,,,BLANK_MATCH,True
PDSH4816AF,Product Label/Insert,,,BLANK_MATCH,True
PDSH4816AF,Video Link,,,BLANK_MATCH,True
PDSH4816AF,Video Link 1,,,BLANK_MATCH,True
PDSH4816AF,Country Of Origin,,,BLANK_MATCH,True
PDSH4816AF,Discontinued,,No,EXTRA,False
PDSH4816AF,Actual Image (Yes/No),Yes,Yes,EXACT_MATCH,True
WDTS7024RZ,MFR URL,https://learnwhirlpool.com/smartsearchresults?searchtext=WDTS7024R,https://www.frigidaire.com/en/p/owner-center/product-support/WDTS7024RZ,VALUE_MISMATCH,False
WDTS7024RZ,Ref URL 1,https://www.whirlpool.com/content/dam/global/documents/202412/owners-manual-w11323304-revj.pdf,,MISSING,False
WDTS7024RZ,Ref URL 2,https://www.whirlpool.com/content/dam/global/documents/202406/installation-instructions-w11323304-revG.pdf,,MISSING,False
WDTS7024RZ,Ref URL 3,,,BLANK_MATCH,True
WDTS7024RZ,Ref URL 4,,,BLANK_MATCH,True
WDTS7024RZ,Ref URL 5,,,BLANK_MATCH,True
WDTS7024RZ,PART_NUMBER,25286031,1515867,VALUE_MISMATCH,False
WDTS7024RZ,Dept,Appliances,Appliances,EXACT_MATCH,True
WDTS7024RZ,Class,Large Appliances,Large Appliances,EXACT_MATCH,True
WDTS7024RZ,Fine,Dishwashers,Dishwashers,EXACT_MATCH,True
WDTS7024RZ,SKU - MY_PART_NUMBER,1515867,1515867,EXACT_MATCH,True
WDTS7024RZ,Mfg_Part_Num,WDTS7024RZ,WDTS7024RZ,EXACT_MATCH,True
WDTS7024RZ,Part_Desc,WDTS7024RZ Dishwasher SS - Display Only,WDTS7024RZ Dishwasher SS - Display Only,EXACT_MATCH,True
WDTS7024RZ,E1_Brand,-- Unbranded --,-- Unbranded --,EXACT_MATCH,True
WDTS7024RZ,Unilog_Brand,-- No Unilog Brand --,-- No Unilog Brand --,EXACT_MATCH,True
WDTS7024RZ,DIB_Brand,-- No DIB Brand --,-- No DIB Brand --,EXACT_MATCH,True
WDTS7024RZ,Part_Manuf,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative (APPDE),EXACT_MATCH,True
WDTS7024RZ,MANUFACTURER_NAME,Whirlpool Corporation,Appliance Dealers Cooperative,VALUE_MISMATCH,False
WDTS7024RZ,BRAND_NAME,Whirlpool®,Frigidaire®,VALUE_MISMATCH,False
WDTS7024RZ,TRADE_NAME,,,BLANK_MATCH,True
WDTS7024RZ,MANUFACTURER_PART_NUMBER,WDTS7024RZ,WDTS7024RZ,EXACT_MATCH,True
WDTS7024RZ,ALTERNATE_PART_NUMBER,,,BLANK_MATCH,True
WDTS7024RZ,Classpath,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,EXACT_MATCH,True
WDTS7024RZ,MOBILE_DESC,"Whirlpool, Dishwasher, Eco Series, WDTS7024RZ, Built-in Mounting","Frigidaire, Dishwasher, Eco Series, WDTS7024RZ, Built-in Mounting",VALUE_MISMATCH,False
WDTS7024RZ,INVOICE_DESC,DISHWASHER BLTLN SST SST 120V 10A 41DBA,DISHWASHER BLTLN SST SST 120V 10A 41DBA,EXACT_MATCH,True
WDTS7024RZ,SHORT_DESC,"Whirlpool® Eco Series WDTS7024RZ Dishwasher, Built-in Mounting, Stainless Steel, Stainless Steel","Frigidaire® Eco Series WDTS7024RZ Dishwasher, Built-in Mounting, Stainless Steel",VALUE_MISMATCH,False
WDTS7024RZ,LONG_DESC1,"Whirlpool® Dishwasher, Eco Series, 120 V, 10 A, Built-in Mounting, 33-7/16 in H x 23-7/8 in W x 22-5/8 in D, 50-3/16 in Depth With Door Open, 33-7/16 in Minimum Height, 41 dBA Sound Level, Stainless Steel, Stainless Steel, Additional Information: Folding Tines, Leak Detection System, Moisture Repellent Silverware Basket, Normal Cycle, Quick Wash Cycle, Sani Rinse Option, Sensor Cycle, Triple Wash Spray","Frigidaire® Dishwasher, Eco Series, 120 V, 10 A, Built-in Mounting, 33-7/16 in H x 23-7/8 in W x 22-5/8 in D, 50-3/16 in Depth With Door Open, 33-7/16 in Minimum Height, 41 dBA Sound Level, Stainless Steel, Stainless Steel, Additional Information: Folding Tines, Leak Detection System, Moisture Repellent Silverware Basket, Normal Cycle, Quick Wash Cycle, Sani Rinse Option, Sensor Cycle, Triple Wash Spray",VALUE_MISMATCH,False
WDTS7024RZ,RETAIL_DESC,"Eco Series Dishwasher, Built-in Mounting, Stainless Steel, Stainless Steel","Eco Series Dishwasher, Built-in Mounting, Stainless Steel",VALUE_MISMATCH,False
WDTS7024RZ,MARKETING_DESCRIPTION,"Load more and run less with our quietest and largest capacity dishwasher. A 3rd Rack provides dedicated space for mugs and bowls, while an adjustable 2nd Rack helps fit all the dishes and pans your family piles up.","Load more and run less with our quietest and largest capacity dishwasher. A 3rd Rack provides dedicated space for mugs and bowls, while an adjustable 2nd Rack helps fit all the dishes and pans your family piles up.",EXACT_MATCH,True
WDTS7024RZ,ITEM_FEATURES_1,3rd rack with extra wash action,3rd rack with extra wash action,EXACT_MATCH,True
WDTS7024RZ,ITEM_FEATURES_2,Adjustable 2nd Rack,Adjustable 2nd Rack,EXACT_MATCH,True
WDTS7024RZ,ITEM_FEATURES_3,41 dBA,41 dBA Sound Level,VALUE_MISMATCH,False
WDTS7024RZ,ITEM_FEATURES_4,Moisture Repellent Silverware Basket,Moisture Repellent Silverware Basket,EXACT_MATCH,True
WDTS7024RZ,ITEM_FEATURES_5,Sensor cycle,Sensor cycle,EXACT_MATCH,True
WDTS7024RZ,ITEM_FEATURES_6,Sani Rinse Option,,MISSING,False
WDTS7024RZ,ITEM_FEATURES_7,Leak Detection System,,MISSING,False
WDTS7024RZ,ITEM_FEATURES_8,Folding Tines,,MISSING,False
